Sno,Bank Name,Branch Name,IFSC Code
416,State Bank of India,LAKHIMPUR KHERI,SBIN0017331
417,Bank Of India,BAHRAICH,BKID0006970
418,INDIAN BANK, BAHRAICH,"	IDIB000V530"
419,Bank of Baroda,BAHRAICH,BARB0VJBAHR
420,State Bank of India,BAHRAICH,SBIN0000015
421,PUNJAB NATIONAL BANK,BAHARAICH,PUNB0070110
422,State Bank of India,KURWA,SBIN0009874
423,Uttar Pradesh Gramin Bank,Uttar Pradesh,BARB0BUPGBX
424,IDBI BANK,BAHRAICH,IBKL0001095
425,HDFC Bank,BEHRAICH,HDFC0000866
426,CENTRAL BANK OF INDIA,MIHINPURWA,CBIN0280212
427,UNION BANK OF INDIA,CHANDGANJ,UBIN0556882
428,Uttar Pradesh Gramin Bank,UTTAR PRADESH ,BARB0BUPGBX
429,PUNJAB AND SIND BANK, LUCKNOW,PSIB0000778
430,Bank of Baroda,RAJPUR,BARB0RAJPUR
431,State Bank of India,ADB BAHRAICH,SBIN0005977
432,Bank of Baroda,BAHRAICH,BARB0VJBAHR
433,INDIAN BANK,BAHRAICH,IDIB000B097
434,Baroda Uttar Pradesh Gramin Bank,UTTAR PRADESH ,BARB0BUPGBX
435,INDIAN BANK,VIKAS BHAWAN,IDIB000V533
436,INDIAN BANK,BAHRAICH,IDIB000B097
437,INDIAN BANK,SITAPUR REWSA,IDIB000R635
438,INDIAN BANK,BURNAPUR,IDIB000B675
439,INDIAN BANK,PALIA,IDIB000P535
440,Axis Bank,LUCKNOW,UTIB0000053
441,INDIAN BANK,BAHRAICH,IDIB000B097
442,Bank of Baroda,LUCKNOW,BARB0JANKIP
443,Uttar Pradesh Gramin Bank,UTTAR PRADESH ,BARB0BUPGBX
444,Bank of Baroda,GONDA,BARB0GONDAX
445,Axis Bank,SECTOR ONE,UTIB0002951
446,CENTRAL BANK OF INDIA,INDIRA NAGAR,CBIN0283683
447,State Bank of India,BISWAN,SBIN0000622
448,Bank Of India,BAHRAICH,BKID0006970
449,Axis Bank,PATNA,UTIB0000387
450,State Bank of India,DIGHWARA,SBIN0010083
451,State Bank of India,RATSAR KALAN,SBIN0016467
452,State Bank of India,RAMGARH,SBIN0012502
453,State Bank of India,RATANPURA,SBIN0015147
454,UNION BANK OF INDIA,BADSARA KHALSA,UBIN0575062
455,State Bank of India,BALLIA,SBIN0010177
456,UNION BANK OF INDIA,BANSDEEH,UBIN0571326
457,PUNJAB NATIONAL BANK,MUZAFFARPUR ,PUNB0115900
458,State Bank of India,NAGRA,SBIN0011244
459,State Bank of India,DALTONGANJ,SBIN0000061
460,State Bank of India,JALHUPUR,SBIN0015128
461,State Bank of India,GARHWAR,SBIN0015135
462,HDFC Bank,GANGA SHOPPING ,HDFC0004715
463,State Bank of India,RCC CHAPRA,SBIN0003614
464,PUNJAB NATIONAL BANK,BALLIA,PUNB0673600
465,PUNJAB NATIONAL BANK,LUCKNOW ,PUNB0241400
466,UNION BANK OF INDIA, BALLIA,UBIN0530492
467,State Bank of India, MADHOGARH,SBIN0003201
468,State Bank of India,KHEMNICHAK,SBIN0016611
469,UNION BANK OF INDIA,NAGRA,UBIN0568066
470,CENTRAL BANK OF INDIA, BALLIA,CBIN0283939
471,State Bank of India,AKABARPUR,SBIN0000003
472,HDFC Bank,BALLIA,HDFC0004834
473,State Bank of India,KORANSARAI,SBIN0004889
474,Bank of Baroda,CHILLA ROAD,BARB0CHILRD
475,State Bank of India,AALAPUR,SBIN0011230
476,State Bank of India,KIDWAI NAGAR,SBIN0001786
477,Punjab National Bank,STEAMER GHAT,PUNB0476000
478,State Bank of India,RAJGIR,SBIN0003499
479,State Bank of India, ALLAHABAS,SBIN0001621
480,UNION BANK OF INDIA,SIKANDARPUR ,UBIN0568074
481,UNION BANK OF INDIA,RAI BAREILLY,UBIN0530247
482,State Bank of India,NAGRA,SBIN0011244
483,State Bank of India,LANKA,SBIN0011508
484,KOTAK MAHINDRA BANK LIMITED,PHULWARI SHARIF ,KKBK0005655
485,Bank of Baroda,SITAPUR,BARB0VJSIPU
486,State Bank of India,SIKANDERPUR,SBIN0002615
487,State Bank of India,BALLIA CITY,SBIN0002517
488,IDBI BANK,JHANSI,IBKL0000205
489,Bank of Baroda,SULTANPUR,BARB0SISOUD
